,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
7770,Wilfried Zaha ,11,CIV,LW,30-125,90,0,0,0,0,2,1,0,0,40,1,2,0
7771,Michael Olise ,7,FRA,RW,21-093,69,0,0,0,0,3,1,0,0,36,1,2,0
7772,   Jordan Ayew ,9,GHA,RW,31-185,21,0,0,0,0,0,0,1,0,19,2,0,2
7773,Jeffrey Schlupp ,15,GHA,"LM,DM",30-082,79,0,0,0,0,1,0,0,0,30,1,1,0
7774,   Naouirou Ahamada ,29,FRA,DM,20-351,11,0,0,0,0,1,0,0,0,14,0,0,0
7775,Cheick Doucouré ,28,MLI,CM,23-066,45,0,0,0,0,1,0,1,0,24,3,2,2
7776,   Eberechi Eze ,10,ENG,AM,24-259,45,0,0,0,0,0,0,0,0,41,1,0,1
7777,Albert Sambi Lokonga ,8,BEL,"DM,RM",23-144,90,0,0,0,0,0,0,0,0,61,0,2,2
7778,Tyrick Mitchell ,3,ENG,LB,23-195,90,0,0,0,0,0,0,0,0,47,1,1,2
7779,Marc Guéhi ,6,ENG,CB,22-245,90,0,0,0,0,0,0,0,0,63,2,3,0
7780,Joachim Andersen ,16,DEN,CB,26-288,90,0,0,0,0,1,0,0,0,91,2,0,1
7781,Nathaniel Clyne ,17,ENG,RB,31-344,90,0,0,0,0,0,0,0,0,47,1,0,2
7782,Joseph Whitworth ,41,ENG,GK,19-014,90,0,0,0,0,0,0,0,0,48,0,0,0
7783,André Ayew ,34,GHA,FW,33-090,78,0,0,0,0,0,0,0,0,21,1,0,1
7784,   Sam Surridge ,16,ENG,FW,24-232,12,0,0,0,0,0,0,0,0,2,0,0,0
7785,Emmanuel Dennis ,25,NGA,LW,25-122,78,1,0,0,0,1,1,1,0,31,0,0,1
7786,   Neco Williams ,7,WAL,LW,21-338,12,0,0,0,0,0,0,0,0,4,0,0,1
7787,Brennan Johnson ,20,WAL,RW,21-298,90,0,0,0,0,2,2,0,0,27,0,0,1
7788,Morgan Gibbs-White ,10,ENG,AM,23-049,90,0,0,0,0,0,0,1,0,36,0,0,0
7789,Jonjo Shelvey ,6,ENG,DM,31-018,89,0,0,0,0,2,0,1,0,47,0,1,0
7790,   Gustavo Scarpa ,31,BRA,DM,29-071,1,0,0,0,0,0,0,0,0,3,0,0,0
7791,Ryan Yates ,22,ENG,DM,25-116,57,0,0,0,0,0,0,0,0,17,1,1,0
7792,   Remo Freuler ,23,SUI,DM,30-336,33,0,0,0,0,0,0,0,0,9,0,0,2
7793,Renan Lodi ,32,BRA,LB,24-343,90,0,0,0,0,0,0,1,0,47,1,4,0
7794,Moussa Niakhate ,19,SEN,CB,27-009,90,0,0,0,0,0,0,0,0,30,0,1,0
7795,Felipe ,38,BRA,CB,33-305,90,0,0,0,0,0,0,0,0,52,6,1,3
7796,Serge Aurier ,24,CIV,RB,30-083,90,0,0,0,0,0,0,0,0,58,3,2,3
7797,Keylor Navas ,12,CRC,GK,36-092,90,0,0,0,0,0,0,1,0,50,0,0,0
7798,Alexander Isak ,14,SWE,FW,23-177,90,2,0,1,1,4,1,0,0,43,0,0,2
7799,Allan Saint-Maximin ,10,FRA,LW,26-005,45,0,0,0,0,0,0,0,0,18,0,0,0
7800,   Elliot Anderson ,32,SCO,LW,20-131,45,0,0,0,0,2,1,0,0,24,2,0,1
7801,Jacob Murphy ,23,ENG,RW,28-021,83,0,0,0,0,2,0,0,0,43,0,0,0
7802,   Matt Ritchie ,11,SCO,RW,33-188,7,0,0,0,0,0,0,0,0,9,0,0,0
7803,Joe Willock ,28,ENG,LM,23-209,90,0,1,0,0,2,0,0,0,48,2,3,1
7804,Bruno Guimarães ,39,BRA,CM,25-121,90,0,0,0,0,2,1,0,0,54,3,0,0
7805,Sean Longstaff ,36,ENG,RM,25-138,90,0,0,0,0,2,0,0,0,49,1,2,1
7806,Dan Burn ,33,ENG,LB,30-312,90,0,0,0,0,0,0,1,0,44,3,1,1
7807,Sven Botman ,4,NED,CB,23-064,90,0,0,0,0,0,0,0,0,75,0,0,0
7808,Fabian Schär ,5,SUI,CB,31-087,90,0,0,0,0,0,0,0,0,71,1,0,0
7809,Kieran Trippier ,2,ENG,RB,32-179,90,0,0,0,0,0,0,0,0,86,3,2,0
7810,Nick Pope ,22,ENG,GK,30-332,90,0,0,0,0,0,0,0,0,26,0,0,0
7811,Raúl Jiménez ,9,MEX,FW,31-317,90,0,0,0,0,2,2,0,0,26,1,0,0
7812,Daniel Podence ,10,POR,LW,27-148,56,0,0,0,0,3,2,0,0,29,1,0,4
7813,   Adama Traoré ,37,ESP,WB,27-052,34,0,0,0,0,0,0,0,0,21,0,0,0
7814,Pedro Neto ,7,POR,RW,23-009,45,0,0,0,0,1,0,0,0,30,0,0,0
7815,   Pablo Sarabia ,21,ESP,"AM,RW",30-311,45,0,0,0,0,4,2,0,0,44,0,1,1
7816,João Gomes ,35,BRA,"LM,CM",22-034,90,0,0,0,0,1,0,1,0,65,5,0,1
7817,Mario Lemina ,5,GAB,"CM,CB",29-198,90,0,0,0,0,1,0,0,0,82,3,2,2
7818,Rúben Neves ,8,POR,"RM,CM",26-005,75,0,0,0,0,5,0,0,0,79,3,3,2
7819,   João Moutinho ,28,POR,CM,36-191,15,0,0,0,0,0,0,0,0,32,2,1,0
7820,Jonny Castro ,19,ESP,"LB,WB",29-015,83,1,0,0,0,1,1,0,1,64,2,1,0
7821,Max Kilman ,23,ENG,CB,25-299,90,0,0,0,0,0,0,0,0,78,0,1,0
7822,Craig Dawson ,15,ENG,CB,32-316,45,0,0,0,0,1,0,1,0,53,1,0,1
7823,   Nathan Collins ,4,IRL,CB,21-322,45,0,0,0,0,1,0,0,0,53,3,0,0
7824,Nélson Semedo ,22,POR,RB,29-122,56,0,0,0,0,1,0,1,0,41,0,0,1
7825,   Matheus Cunha ,12,BRA,FW,23-295,34,1,0,0,0,2,1,0,0,16,0,0,2
7826,José Sá ,1,POR,GK,30-060,90,0,0,0,0,0,0,0,0,31,0,0,0
7827,Patrick Bamford ,9,ENG,FW,29-194,66,0,0,0,0,1,0,0,0,25,1,2,0
7828,   Rodrigo ,19,ESP,FW,32-012,24,1,0,0,0,1,1,0,0,19,2,0,1
7829,Degnand Gnonto ,29,ITA,LW,19-133,60,0,1,0,0,0,0,0,0,28,1,1,1
7830,   Rasmus Nissen ,25,DEN,"RB,LW",25-250,30,1,0,0,0,1,1,0,0,15,2,0,0
7831,Jack Harrison ,11,ENG,"RW,LM",26-118,90,1,0,0,0,2,1,0,0,33,0,1,3
7832,Brenden Aaronson ,7,USA,"AM,RM",22-147,80,0,0,0,0,1,0,0,0,42,2,0,4
7833,   Crysencio Summerville ,10,NED,RM,21-139,10,0,1,0,0,0,0,0,0,8,2,0,0
7834,Weston McKennie ,28,USA,"DM,CM",24-202,90,0,0,0,0,2,0,1,0,34,0,3,1
7835,Marc Roca ,8,ESP,"DM,CM",26-112,90,0,1,0,0,2,0,1,0,55,3,0,1
7836,Junior Firpo ,3,ESP,LB,26-208,80,0,0,0,0,0,0,1,0,38,2,1,0
7837,   Pascal Struijk ,21,NED,LB,23-219,10,0,0,0,0,0,0,0,0,12,1,0,0
7838,Maximilian Wöber ,39,AUT,CB,25-042,90,0,0,0,0,0,0,0,0,48,1,1,4
7839,Robin Koch ,5,GER,CB,26-244,90,0,0,0,0,0,0,0,0,35,0,0,0
7840,Luke Ayling ,2,ENG,"RB,CB",31-205,90,1,0,0,0,1,1,1,0,42,4,0,1
